movie,sentence,score
쥬라기 월드: 도미니언,노잼입니다 범죄도시 보세요 ,2
범죄도시2,마동석 장이수 케미 미쳤어요ㅠㅠㅠ진짜영화보는 내내 관객들 다 웃고 ㅋㅋㅋ 액션신도 완전 통쾌!!! 1보다 2가 훨~~재밌어요,10
쥬라기 월드: 도미니언,와.. 진짜  개봉안했어야하는 영화,1
쥬라기 월드: 도미니언,블루분량보다 메뚜기 분량이 더 많은게 실화냐 ,6
쥬라기 월드: 도미니언,늘어지다가 액션에서 오 이제 시작인가 싶을 때 다시 늘어짐….그게 계속 반복됨. 그래서 재미는 있는데 적극 추천할 정도인지는 약간 애매함. ,9
그대가 조국,"영화를 본 것을 후회할 만큼 아픕니다.그렇지만 봐야만 합니다.영화를 본다고, 사실을 안다고 지금 당장 달라지는 것이 없을지는 모르지만 진실을 직면해야합니다.우리는 조국을 사랑하니까요!",10
킹스맨: 퍼스트 에이전트,묵직한 스파이 무비 + 흥미로운 1차 세계대전 역사적 배경.. 너무 괜찮게 봄,10
쥬라기 월드: 도미니언,공룡영화 보러갔는데 메뚜기 영화 보고 왔습니다,2
쥬라기 월드: 도미니언,내앞에 아빠 잼민이 엄마 앉았는데 셋다 졸고있더라 ,1
쥬라기 월드: 도미니언,처음에 메갈리돈 나오는거 빼고 노잼임 완전 마취 당함,1
범죄도시2,손석구 배우 연기력 진짜 대박임,10
쥬라기 월드: 도미니언,10000원이면 국밥이 한그릇 ,3
쥬라기 월드: 도미니언,쥬라기 시리즈 매니안데 이건 화난다,2
쥬라기 월드: 도미니언,연출… 너무 아쉽네여..앞뒤 맥락 없는 공룡 등장과 인물 등장..성인이 보기엔 유치한 연출..,6
쥬라기 월드: 도미니언,쥬라기공원도 3편이 제일 별로였는데이 작품도 피해갈수없음,6
쥬라기 월드: 도미니언,끝이라니 믿을수없어..,10
쥬라기 월드: 도미니언,진짜 티라노는 얼마나 우려먹는지똑같은 전개에 똑같은 구성긴 러닝타임에 알없는 내용보다가 잘뻔한거 돈아까워서 꾸역꾸역봄공룡 전투씬이랑 끝에 공룡 공존하는 씬이제일 재밌었음,1
그대가 조국,지선 13대4 국힘 승리 4050스윗남 이대녀 대꺠문 찢갈이들 꼴좋다 ㅋㅋ,1
쥬라기 월드: 도미니언,스토리 괜찮았어요. 시리즈 마지막이라는게 너무 아쉽네요. 공룡영화의 대서사시가 막이 내렸는데 이젠 앞으로 공룡소재의 현실감있는 대작이 또 있을까요? 어렸을때부터 봐오던게 성인이 되어서도 이어지는 감동을 이젠 느낄수없는걸까. 그 신비함과 감동이 많이 그리울것 같아요.,10
쥬라기 월드: 도미니언,어이없는 연출 급 메뚜기 파티 메뚜기파티에 오신걸 축하드려요,2
스타쉽 트루퍼스,어릴적  토요명화극장에서 해주는거 생각나네또봐도 재밌네,10
쥬라기 월드: 도미니언,보다 딴생각함 팝콘 먹는거에 집중한듯,6
